"est.beta","se","G","R"
7.50100648423759,1.10769700383044,4,308
3.23764433170363,0.535531310668144,5,246
3.20548543770253,2.10441347893249,6,204
3.68100627333438,1.46355075737607,7,174
3.55868037316311,1.93768417424579,8,152
3.1107467541545,1.08366572440615,9,134
4.96148129569381,0.874555028653044,10,121
2.58718214359781,1.49247454889364,11,109
2.6249267083689,1.58866100453117,12,100
1.79700786495786,1.46877979694988,13,92
1.83005604386642,1.23117018628507,14,85
5.10073509540217,0.762426027498197,15,79
1.66856055000296,0.926575877685927,16,74
5.03319371608324,1.03478884914172,17,69
4.25608430986356,0.841209008307023,18,65
3.01111477922769,0.777897621523993,19,61
2.10658152656173,1.11261721676034,20,58
1.84238226567871,0.993446969398245,21,55
2.71105278940417,0.690917655664513,22,52
0.837192796320204,1.04538094002978,23,50
3.02194575076396,0.794865522046231,24,48
4.2170777056069,0.657769110374852,25,46
2.9323948769207,0.796434210812517,26,44
2.44197765242895,0.896242384710639,27,42
3.30514893204805,0.558794302700653,28,40
3.46098953446198,0.733858497025432,29,39
4.19894843690896,0.749014987355574,30,37
3.29852493401496,0.690402475972391,31,36
1.87591207166469,0.749536466367156,32,35
3.19991043933734,0.579721265232464,33,33
1.70266509726622,0.705939359687279,34,32
2.89750367320288,0.726548325388028,35,31
3.16142467440268,0.777452437743557,36,30
3.6924315707412,0.665575458426009,37,29
3.3953283407414,0.56362569041676,38,28
2.61782500026484,0.616133875099533,39,28
2.97300160937936,0.576705829601722,40,27
1.73335808337522,0.667696202765357,41,26
3.56826497660202,0.609592398499872,42,25
4.76382538622175,0.525648901883361,43,25
2.55470833015653,0.609751089131379,44,24
2.99958717361425,0.564295937483626,45,23
3.17269597309524,0.600117810189622,46,23
3.2999164369463,0.62479661498863,47,22
2.91215735576221,0.585203547773022,48,22
4.67717626878333,0.587315479149151,49,21
2.67151486887393,0.608480531232672,50,21
3.48573705958388,0.496039739359709,51,20
3.9146634154425,0.547685266269507,52,20
2.87310090951753,0.506317232813841,53,19
3.24988437754433,0.511619965709167,54,19
3.92407896807432,0.634496199399869,55,18
2.28780755861052,0.480434547627024,56,18
2.48553615279191,0.53855526302614,57,17
2.47271931330579,0.467939136633995,58,17
2.69916555628389,0.52123153221804,59,17
2.90113909410882,0.495171741023223,60,16
3.26653757664633,0.518360123667976,61,16
2.36129586505371,0.502295643099148,62,16
3.37196331342026,0.544606827054046,63,15
2.91998213320438,0.567765834249403,64,15
3.08267043761365,0.484261930109955,65,15
3.621355294276,0.528299388465056,66,14
3.29912399327439,0.493811508274956,67,14
3.38741476004252,0.497534679662483,68,14
3.10229030216246,0.467458115137327,69,14
3.35282843528684,0.461303202818849,70,13
2.94619657148886,0.516478387476456,71,13
2.78181942103587,0.429531528740154,72,13
2.29227258755158,0.434678277768434,73,13
3.85758259496035,0.451833156795653,74,12
2.74956990951938,0.468377623847847,75,12
3.65845070173199,0.490384082651063,76,12
3.31355449095335,0.486075098216971,77,12
2.76902491707618,0.42001983506763,78,12
2.70010641984558,0.409346512746034,79,11
2.99705968057671,0.459016431151545,80,11
3.07557199579283,0.38069630266909,81,11
2.17439129387767,0.480771628049227,82,11
2.95845189778376,0.440149197195752,83,11
2.69745325958285,0.428906115059388,84,10
3.37604562632582,0.403867391575343,85,10
3.43958628142174,0.441218797338452,86,10
2.44899063606494,0.432037048501682,87,10
3.1723238016024,0.403059892367997,88,10
3.2949115295066,0.488722610406675,89,10
3.21334346183254,0.427957404275164,90,9
2.54158949719914,0.419661236500913,91,9
2.94156433392463,0.399948241530029,92,9
3.11784099499848,0.419052411854798,93,9
3.19447964314922,0.415068262184475,94,9
3.07687382505778,0.384658098092951,95,9
3.19939378516693,0.385923931375868,96,9
2.74292010010069,0.410196620543111,97,8
2.8831894994755,0.422599610974324,98,8
3.0711291755743,0.400534355336838,99,8
3.40286780543412,0.429393344796757,100,8
2.51272615214929,0.393974983307558,101,8
2.8447887336883,0.424379949372251,102,8
3.62316929011621,0.387866243647309,103,8
3.06648581719972,0.372314328292301,104,8
3.96846226279905,0.366893830869132,105,7
