"G","R","X","Y","alpha","beta","gamma"
1,1,1,2834,5,3,2
1,2,1,2908,5,3,2
1,3,1,2932,5,3,2
2,1,0,47,5,3,2
2,2,0,41,5,3,2
2,3,0,46,5,3,2
3,1,1,33226,5,3,2
3,2,1,33045,5,3,2
3,3,1,33146,5,3,2
4,1,0,686,5,3,2
4,2,0,699,5,3,2
4,3,0,638,5,3,2
5,1,0,812,5,3,2
5,2,0,787,5,3,2
5,3,0,771,5,3,2
6,1,0,6711,5,3,2
6,2,0,6947,5,3,2
6,3,0,6808,5,3,2
7,1,0,317,5,3,2
7,2,0,367,5,3,2
7,3,0,327,5,3,2
8,1,1,443,5,3,2
8,2,1,386,5,3,2
8,3,1,398,5,3,2
9,1,0,150,5,3,2
9,2,0,142,5,3,2
9,3,0,150,5,3,2
10,1,1,210,5,3,2
10,2,1,240,5,3,2
10,3,1,204,5,3,2
11,1,0,36,5,3,2
11,2,0,35,5,3,2
11,3,0,39,5,3,2
12,1,1,41424,5,3,2
12,2,1,41798,5,3,2
12,3,1,41641,5,3,2
13,1,0,698,5,3,2
13,2,0,654,5,3,2
13,3,0,657,5,3,2
14,1,1,2806,5,3,2
14,2,1,2895,5,3,2
14,3,1,2915,5,3,2
15,1,0,456,5,3,2
15,2,0,453,5,3,2
15,3,0,456,5,3,2
16,1,0,94,5,3,2
16,2,0,81,5,3,2
16,3,0,101,5,3,2
17,1,1,21802,5,3,2
17,2,1,21490,5,3,2
17,3,1,21400,5,3,2
18,1,1,2209,5,3,2
18,2,1,2150,5,3,2
18,3,1,2222,5,3,2
19,1,0,7,5,3,2
19,2,0,12,5,3,2
19,3,0,14,5,3,2
20,1,0,46,5,3,2
20,2,0,58,5,3,2
20,3,0,48,5,3,2
21,1,1,2612,5,3,2
21,2,1,2611,5,3,2
21,3,1,2530,5,3,2
22,1,0,100,5,3,2
22,2,0,102,5,3,2
22,3,0,94,5,3,2
23,1,0,171,5,3,2
23,2,0,148,5,3,2
23,3,0,161,5,3,2
24,1,0,836,5,3,2
24,2,0,877,5,3,2
24,3,0,826,5,3,2
25,1,1,43093,5,3,2
25,2,1,43439,5,3,2
25,3,1,43131,5,3,2
26,1,0,22,5,3,2
26,2,0,30,5,3,2
26,3,0,33,5,3,2
27,1,1,3464,5,3,2
27,2,1,3521,5,3,2
27,3,1,3336,5,3,2
28,1,1,1462,5,3,2
28,2,1,1518,5,3,2
28,3,1,1499,5,3,2
29,1,1,50607,5,3,2
29,2,1,50413,5,3,2
29,3,1,50118,5,3,2
30,1,1,39,5,3,2
30,2,1,41,5,3,2
30,3,1,46,5,3,2
31,1,0,4149,5,3,2
31,2,0,4333,5,3,2
31,3,0,4235,5,3,2
32,1,1,5760,5,3,2
32,2,1,5737,5,3,2
32,3,1,5985,5,3,2
33,1,1,40434,5,3,2
33,2,1,40891,5,3,2
33,3,1,40611,5,3,2
34,1,0,149,5,3,2
34,2,0,177,5,3,2
34,3,0,158,5,3,2
35,1,1,3106,5,3,2
35,2,1,3090,5,3,2
35,3,1,3043,5,3,2
36,1,0,446,5,3,2
36,2,0,481,5,3,2
36,3,0,454,5,3,2
37,1,1,14522,5,3,2
37,2,1,14974,5,3,2
37,3,1,14697,5,3,2
38,1,1,3574,5,3,2
38,2,1,3625,5,3,2
38,3,1,3466,5,3,2
39,1,1,2532,5,3,2
39,2,1,2507,5,3,2
39,3,1,2481,5,3,2
40,1,1,1264,5,3,2
40,2,1,1321,5,3,2
40,3,1,1314,5,3,2
41,1,0,66,5,3,2
41,2,0,76,5,3,2
41,3,0,77,5,3,2
42,1,1,2393,5,3,2
42,2,1,2430,5,3,2
42,3,1,2441,5,3,2
43,1,0,940,5,3,2
43,2,0,884,5,3,2
43,3,0,920,5,3,2
44,1,0,153,5,3,2
44,2,0,172,5,3,2
44,3,0,160,5,3,2
45,1,1,346,5,3,2
45,2,1,342,5,3,2
45,3,1,334,5,3,2
46,1,0,162,5,3,2
46,2,0,176,5,3,2
46,3,0,161,5,3,2
47,1,1,28197,5,3,2
47,2,1,28163,5,3,2
47,3,1,28130,5,3,2
48,1,0,111,5,3,2
48,2,0,118,5,3,2
48,3,0,122,5,3,2
49,1,0,85,5,3,2
49,2,0,108,5,3,2
49,3,0,90,5,3,2
50,1,0,3940,5,3,2
50,2,0,3870,5,3,2
50,3,0,3821,5,3,2
51,1,1,2836,5,3,2
51,2,1,2907,5,3,2
51,3,1,2936,5,3,2
52,1,0,2,5,3,2
52,2,0,6,5,3,2
52,3,0,3,5,3,2
53,1,1,43055,5,3,2
53,2,1,43488,5,3,2
53,3,1,43325,5,3,2
54,1,1,24979,5,3,2
54,2,1,24971,5,3,2
54,3,1,25209,5,3,2
55,1,0,410,5,3,2
55,2,0,354,5,3,2
55,3,0,390,5,3,2
56,1,1,1625,5,3,2
56,2,1,1626,5,3,2
56,3,1,1587,5,3,2
57,1,0,18,5,3,2
57,2,0,16,5,3,2
57,3,0,9,5,3,2
58,1,0,1126,5,3,2
58,2,0,1112,5,3,2
58,3,0,1155,5,3,2
59,1,1,9026,5,3,2
59,2,1,9096,5,3,2
59,3,1,9054,5,3,2
60,1,1,704,5,3,2
60,2,1,748,5,3,2
60,3,1,702,5,3,2
61,1,0,9,5,3,2
61,2,0,9,5,3,2
61,3,0,7,5,3,2
62,1,1,2911,5,3,2
62,2,1,2796,5,3,2
62,3,1,2820,5,3,2
63,1,0,193,5,3,2
63,2,0,191,5,3,2
63,3,0,190,5,3,2
64,1,0,981,5,3,2
64,2,0,1024,5,3,2
64,3,0,989,5,3,2
65,1,1,4967,5,3,2
65,2,1,4937,5,3,2
65,3,1,4999,5,3,2
66,1,1,1581,5,3,2
66,2,1,1588,5,3,2
66,3,1,1558,5,3,2
67,1,0,262,5,3,2
67,2,0,248,5,3,2
67,3,0,258,5,3,2
68,1,1,80,5,3,2
68,2,1,95,5,3,2
68,3,1,95,5,3,2
69,1,1,59917,5,3,2
69,2,1,59806,5,3,2
69,3,1,59989,5,3,2
